지역,수확일자,과중(g),종경(mm),횡경(mm),L/D 비율,경도1,경도2,경도평균,당도(˚Brix),산도(%),착색(Hunter L),착색(Hunter a),착색(Hunter b)
포천,2022-09-07,268,79.9,86.3,0.92,40.5,39,39.8,14.1,0.21,39.1,28.7,14.6
화성,2022-09-02,358.3,92.8,94.5,0.98,36.4,38.2,37.3,12.5,0.24,54.1,14.4,20.1
완주,2022-09-02,258.9,78,83.2,0.94,38.2,37.6,37.9,13.4,0.26,58.3,10,21.3
완주2,2022-09-01,291.1,79.3,87.1,0.91,38.9,37.8,38.4,13.4,0.25,58.3,9.4,20.1
군위,2021-08-26,265.5,78.9,85.4,0.92,55.8,56.1,56,13.4,0.22,53.2,16.6,19.5
청송,2021-08-30,270.9,76.1,87.1,0.87,57.1,56.5,56.8,14.2,0.22,46.3,24.1,17.9
영주,2021-08-30,264.4,83.7,84.7,0.98,52.8,52.3,52.6,12.2,0.24,49.8,20.8,18
장수,2021-08-30,250.6,78.8,84.3,0.93,52.1,53.1,52.6,12,0.31,56.2,14.8,22
거창,2021-09-03,270,81.8,85.3,0.95,51.7,51.1,51.4,11.2,0.34,53.1,12.6,19.3
충주,2021-08-31,299.9,84.1,89,0.94,57.1,56.5,56.8,14.2,0.27,52.7,15.6,17.9
포천,2021-09-09,333,89.2,92.8,0.96,37.6,37.8,37.7,14,0.21,45.1,23.6,16.8
화성,2021-09-09,324,88.4,92.1,0.96,38.1,37.9,38,12.6,0.22,55.4,15.2,20
완주,2021-09-03,246.5,76,82.9,0.92,41.3,41.3,41.3,15,0.23,47.8,21.7,17.1
완주2,2021-09-07,262.3,78.1,85.3,0.92,41.9,40.4,41.1,14.5,0.22,46,23.4,16.8
군위,2020-09-02,208.3,70,79.9,0.88,56.9,59.1,58,14.5,0.23,60.1,4.6,21.9
청송,2020-09-04,251,73.2,84.1,0.87,59.1,60,59.5,13.4,0.31,54.9,7.7,21.2
영주,2020-09-01,277,80.9,88.6,0.91,56.7,58.4,57.5,13.5,0.3,54.4,10.8,18.8
장수,2020-09-04,289.4,82.4,84.4,0.98,56.5,57.4,56.9,13,0.34,52.2,15.3,19.2
거창,2020-09-04,176.7,66.8,73.7,0.91,56.1,56.3,56.2,11,0.31,57,4.7,20.7
충주,2020-09-01,352.7,87.8,92.7,0.95,58.3,59.5,58.9,13.3,0.29,53.3,8.9,19.9
포천,2020-09-25,247.9,75.3,85.8,0.88,39.5,39.9,39.7,15,0.25,41.4,29,15.9
화성,2020-09-23,311.3,82.9,90.5,0.92,33,34,33.5,12.7,0.25,49.7,16.8,19.3
완주,2020-09-08,296.9,80.2,89.5,0.9,39.5,39.2,39.3,14.5,0.28,57.8,10.2,22.4
군위,2019-09-06,248,74.3,85.2,0.87,60,60.1,60.1,14,0.23,49.8,18.7,17
청송,2019-09-06,286.9,79.2,88.3,0.99,62.4,63.3,62.9,14.8,0.27,49.1,20.9,17.4
영주,2019-09-06,340,88.7,94.3,0.94,59.7,59.6,59.7,13.8,0.25,44.4,23.7,15.9
장수,2019-09-06,263.6,79.4,85.7,0.93,62.8,61.7,62.2,12.2,0.32,51.7,17.7,19.6
거창,2019-09-06,229,73.9,81.6,0.91,61.2,60.6,60.9,11.4,0.29,52.9,15,18
포천,2019-09-19,243.4,72.5,83.3,0.87,40.7,41,40.9,13,0.32,57.9,23.8,28.7
화성,2019-09-10,402.8,85.8,93.4,0.92,37.7,38.4,38.1,14.1,0.29,52.2,19.2,19.4
남해,2019-08-26,134.3,60.1,67.6,0.89,46.5,45.8,46.1,13.8,0.25,57.4,22.2,23.8
완주,2019-09-03,250.8,75.5,83.3,0.91,41.7,40.6,41.2,13.6,0.37,61.6,14.8,29.5
군위,2018-09-05,272.6,78.1,86,0.91,37.7,37.8,37.7,15.6,0.23,60.7,18.4,29.1
영주,2018-09-07,303.1,85.9,89.2,0.96,57.8,57.5,57.7,13.3,0.21,56.1,15.6,19.4
충주,2018-09-11,236.7,77.6,83.4,0.93,36.8,36.2,36.5,15.1,0.23,60.8,20,32
포천,2018-09-14,286.3,78.8,89.9,0.88,37,35.4,36.2,13.3,0.22,55.6,23.6,28.4
화성,2018-09-11,303.1,82.5,91.9,0.9,36.2,37.3,36.7,14.7,0.27,60.9,18,30.2
김제,2018-09-10,404.5,95,98.3,0.97,31.9,32.3,32.1,16.1,0.26,63.2,17.6,27.4
남해,2018-08-29,199.8,73.3,75.3,0.97,66.5,42.8,54.7,15.1,0.21,66.2,13,29.7
춘천,2018-09-12,247.1,81.5,83.5,0.98,35.1,35.6,35.4,13.8,0.23,54.4,31,24.8
완주,2018-09-05,191.4,68.3,75.9,0.9,43.1,43,43,15.3,0.28,70.4,3.1,34.2
군위,2017-09-06,308.6,83.3,90.7,0.92,38.2,37.9,38,15.2,0.19,54.1,26.7,26.7
충주,2017-09-06,280.3,81.3,87.9,0.92,32.8,34.8,33.8,13.6,0.19,51,29.8,23.3
포천,2017-09-17,321.7,83.3,91.5,0.91,37.6,37.6,37.6,13.2,0.21,53,27.9,27.2
화성,2017-09-06,319.7,85.5,91.7,0.93,37.2,37.5,37.3,13.5,0.2,58.5,21.5,27
김제,2017-09-11,454.2,99.8,103.6,0.96,32.2,31.1,31.6,14.2,0.2,54.7,24.9,22.3
남해,2017-08-30,179.4,0,0,0,0,0,0,15.2,0,58.8,22.1,26.6
춘천,2017-09-06,259.9,76.5,87.1,0.88,37.2,37.7,37.4,12.7,0.18,47.3,36,25
김제,2016-09-08,270.4,83.1,87.4,0.95,38.7,38.4,38.5,15.3,0.19,65.6,21,26.3
김제,2015-09-07,297.8,90.5,86.7,1.04,36,36.3,36.2,14.6,0.19,55.2,24.1,24.9
